df,id,tempo,corrY,T1,T2,T3,T4,max,min
ctlM1,Ind16,3.509,78.960395195427,1.25,3.51,4.844,6.205,0,0
ctlM1,Ind18,3.944,283.17798033544,1.206,3.945,5.219,7.6,0,0
ctlM1,Ind23,5.575,354.906842043787,1.1,5.576,7.95,10.5,0,0
ctlM1,Ind25,4.746,407.568285337561,1.58,3.504,4.747,7.3,0,0
ctlM1,Ind28,5.516,364.905395675515,1.477,3.888,5.517,7.9,0,0
ctlM1,Ind29,4.427,372.256327640148,1.188,3.182,4.428,5.676,0,0
ctlM1,Ind30,5.593,357.529648157762,0,5.594,7.15,9.3,0,0
ctlM1,Ind32,4.298,378.845726526803,0,4.299,5.662,7.6,0,0
ctlM1,Ind33,5.999,479.944948844074,1.4,4.666,6,7.7,0,0
ctlM1,Ind4,4.731,551.478763868742,1.35,4.732,6.202,7.3,0,0
ctlM1,Ind6,3.976,366.655774157967,1.05,2.856,3.977,5.338,0,0
ctlM1,Ind9,5.935,326.24191002237,1.15,4.612,5.936,8.5,0,0
ctlM2,Ind16,4.668,96.2048370703579,1.3,3.536,4.669,5.861,0,0
ctlM2,Ind18,4.551,295.597502949101,3.301,4.552,5.787,6.9,0,0
ctlM2,Ind23,6.13,314.130910269928,2.7,4.148,6.131,9.1,0,0
ctlM2,Ind25,4.466,397.248902687059,1.17,3.391,4.467,5.64,0,0
ctlM2,Ind28,2.704,375.848009586888,0,2.705,4.1,7.6,0,0
ctlM2,Ind29,3.718,427.789434034824,1.25,3.719,5.03,6.241,0,0
ctlM2,Ind30,5.473,382.483274147855,1.45,5.474,6.7,9.2,0,0
ctlM2,Ind32,3.359,458.173016860091,1.683,3.36,4.736,6.04,0,0
ctlM2,Ind33,4.138,476.512673462824,1.35,4.139,5.98,8.9,0,0
ctlM2,Ind4,6.16,546.850188839565,1.3,4.4,6.161,7.45,0,0
ctlM2,Ind6,4.17,346.22245738748,0.793,2.941,4.171,5.617,0,0
ctlM2,Ind9,3.469,285.297869692498,1.402,3.47,4.733,5.997,0,0
itvM1,Ind1,5.49,60.738542027046,1.6,3.954,5.491,6.9,0,0
itvM1,Ind12,4.465,281.588220144,1.75,4.466,7.7,10.2,0,0
itvM1,Ind13,3.343,444.325442179704,1.495,3.344,4.994,8.9,0,0
itvM1,Ind14,5.691,406.114140160596,1.4,5.692,7.4,8.8,0,0
itvM1,Ind15,6.248,249.751589298532,1.1,4.653,6.25,7.2,0,0
itvM1,Ind17,6.165,358.684594743139,0,4.509,6.166,6.3,0,0
itvM1,Ind21,5.696,493.171006474082,0,4.36,5.697,7.3,0,0
itvM1,Ind24,3.909,399.782070302855,0,3.91,5.585,7.65,0,0
itvM1,Ind27,5.533,320.334500216207,1.072,3.911,5.534,7.9,0,0
itvM1,Ind3,5.221,427.498466934657,0,5.222,6.8,8.4,0,0
itvM1,Ind31,3.573,350.941884238002,0,3.574,5.574,6.7,0,0
itvM1,Ind5,4.588,346.11504207925,1.8,4.589,6.3,7.8,0,0
itvM1,Ind7,6.248,372.926141157357,1.45,6.2,8.12,12,0,0
itvM1,Ind8,5.361,347.098979905491,0,5.362,6.95,9,0,0
itvM2,Ind1,6.248,40.3056878846622,0.212,3.4,4.863,6.45,0,0
itvM2,Ind12,6.248,260.31406919867,0,5.255,6.5,7.9,0,0
itvM2,Ind13,5.545,384.101318291585,1.19,5.546,6.9,9.6,0,0
itvM2,Ind14,0,408.14446518595,0,3.111,4.6,6.146,0,0
itvM2,Ind15,4.537,222.215463085514,1.463,4.538,5.947,8.6,0,0
itvM2,Ind17,4.218,389.711532074219,0,4.219,5.688,8.2,0,0
itvM2,Ind21,4.107,395.196868136383,1.133,4.108,5.465,7.5,0,0
itvM2,Ind24,5.951,360.05513411273,1.58,4.7,5.952,7.5,0,0
itvM2,Ind27,5.73,306.290181386387,1.25,4.44,5.731,7.2,0,0
itvM2,Ind3,4.272,396.399101110056,1.48,4.273,5.724,8.3,0,0
itvM2,Ind31,4.977,309.258044168638,1.261,3.599,4.978,7.5,0,0
itvM2,Ind5,5.486,313.491751700011,1.4,3.437,5.487,8.1,0,0
itvM2,Ind7,4.778,296.649242779526,1.1,3.341,4.779,7.4,0,0
itvM2,Ind8,3.752,296.463902762059,0,3.753,5.178,7.9,0,0
