df,id,tempo,corrY,T1,T2,T3,T4,max,min
ctlM1,Ind16,4.225,99.1947176461793,0.9,4.226,6.209,8.8,0,0
ctlM1,Ind18,8.262,291.251963674095,0,4.687,6.4,7.2,0,0
ctlM1,Ind20,7.985,310.647362173899,1.234,4.4,5.773,7.986,0,0
ctlM1,Ind23,5.702,432.184941840007,0,5.703,7.668,9.5,0,0
ctlM1,Ind25,4.028,415.633461675623,0,4.029,6.75,8.4,0,0
ctlM1,Ind28,3.686,385.916686861378,0,3.687,5.55,10.1,0,0
ctlM1,Ind29,8.215,337.581608916431,0,4.447,5.7,"8,8",0,0
ctlM1,Ind30,8.391,418.813364002132,0,4.658,6.446,10.9,0,0
ctlM1,Ind32,5.627,432.954335124733,1.651,4.002,5.628,7.574,0,0
ctlM1,Ind33,4.435,411.647904614262,0,4.436,6.411,8.85,0,0
ctlM1,Ind4,6.29,432.192689757733,0,4.281,6.291,8.4,0,0
ctlM1,Ind6,5.393,354.747037459893,0,3.666,5.4,7.6,0,0
ctlM1,Ind9,6.346,273.680196513146,0,4.509,6.3,9.5,0,0
ctlM2,Ind16,3.678,101.224314452904,0.34,3.679,5.843,8.19,0,0
ctlM2,Ind18,7.847,241.113919804116,0,4.5,4.939,7.848,0,0
ctlM2,Ind20,0,340.647428497917,0,3.3,5.1,7,0,0
ctlM2,Ind23,4.376,257.709420153942,0,4.377,6.446,8.7,0,0
ctlM2,Ind25,3.624,405.465726434549,0,3.625,5.4,7.55,0,0
ctlM2,Ind28,8.243,393.847802856474,0,4.372,6.1,8.9,0,0
ctlM2,Ind29,3.824,407.711390663225,0,3.825,5.9,9.2,0,0
ctlM2,Ind30,7.035,366.475903498477,0,5.4,7.036,8.4,0,0
ctlM2,Ind32,6.123,419.052226183802,0,6.124,8.376,10.5,0,0
ctlM2,Ind33,5.79,465.137497915119,0,3.94,5.8,8.6,0,0
ctlM2,Ind4,3.763,502.463976749566,0,3.764,5.9,8.4,0,0
ctlM2,Ind6,3.957,412.209586221962,0,3.958,6.657,8.1,0,0
ctlM2,Ind9,4.035,273.513822052714,0,4.036,5.9,9.5,0,0
itvM1,Ind1,5.452,82.2665239528537,0.301,5.453,7.666,9.6,0,0
itvM1,Ind12,5.22,333.025979118482,0,5.221,7.037,9.6,0,0
itvM1,Ind13,4.459,423.942221050922,0,4.46,6.624,9.2,0,0
itvM1,Ind14,0,458.453273010256,0,4.359,6.62,8.2,0,0
itvM1,Ind15,6.11,278.036107942326,0,6.111,8.268,9.6,0,0
itvM1,Ind17,6,369.881737720389,0,4.362,5.6,7.9,0,0
itvM1,Ind21,2.882,453.362153731646,0,2.883,4.65,7.2,0,0
itvM1,Ind24,4.79,426.845285521308,0,4.791,6.919,9.3,0,0
itvM1,Ind27,4.122,372.151463132091,0,4.123,5.95,8.6,0,0
itvM1,Ind3,8.391,356.87594513752,0,5.2,6.711,8.9,0,0
itvM1,Ind31,7.026,358.089402428806,0,4.266,7.027,8.4,0,0
itvM1,Ind5,4.578,334.515336275327,0,4.579,6.697,9.6,0,0
itvM1,Ind7,8.391,385.2567571359,2.01,7.117,9.5,11.5,0,0
itvM1,Ind8,4.504,336.94993623458,0,4.505,6.526,9.6,0,0
itvM2,Ind1,8.247,48.0252371125835,1.1,6.141,6.9,8.248,0,0
itvM2,Ind12,7.951,241.036564659172,0,6.177,7.952,9.6,0,0
itvM2,Ind13,4.091,404.858395355114,1.715,4.092,6.076,8.134,0,0
itvM2,Ind14,0,419.328784576874,0,2.633,4.593,6.427,0,0
itvM2,Ind15,4.357,263.488052008309,0,4.358,6.384,8.347,0,0
itvM2,Ind17,5.918,369.914456366649,0,5.919,8.172,9.9,0,0
itvM2,Ind21,5.059,432.585439439107,0,5.06,7.089,8.5,0,0
itvM2,Ind24,4.605,337.777751597984,0,4.606,6.649,8.6,0,0
itvM2,Ind27,4.281,291.350896016129,0,4.282,6.405,8.6,0,0
itvM2,Ind3,3.92,360.716927631454,0,3.921,5.75,9.1,0,0
itvM2,Ind31,8.391,285.957421091089,0,4.326,6.374,8.4,0,0
itvM2,Ind5,4.338,349.257471006825,0,4.339,6.424,9.6,0,0
itvM2,Ind7,7.207,327.341239332654,1.76,4.027,7.208,11,0,0
itvM2,Ind8,6.715,313.165921091512,0,5.217,6.716,8.2,0,0
