df,id,tempo,corrY,T1,T2,T3,T4,max,min
ctlM1,Ind16,3.296,89.5928433940007,0.183,3.297,4.567,5.865,416.982587120675,-54.0558301197506
ctlM1,Ind18,3.366,262.707815762454,0,3.367,4.608,5.884,286.438375176116,-267.050353045575
ctlM1,Ind23,6.088,313.848506240327,0,4.627,6.089,8.3,394.752943432377,-274.703516665025
ctlM1,Ind25,3.235,401.36364830645,0,3.236,4.483,5.768,379.275376565984,-298.677071914524
ctlM1,Ind28,4.252,373.084980122992,0,2.942,4.253,6.3,291.778334592923,-336.640402339976
ctlM1,Ind29,5.37,385.234106952031,0,3.6,4.8,6.2,371.951170648765,-354.369477333732
ctlM1,Ind30,3.866,429.327390319844,0,3.867,5.114,7.5,468.784622608019,-342.719609090757
ctlM1,Ind32,4.085,367.803301860064,0,4.086,5.392,7.8,452.513400745316,-296.78611494042
ctlM1,Ind33,5.939,418.693153690122,0,5.94,7.5,8.7,571.888964225262,-333.254575567497
ctlM1,Ind4,6.349,474.544832200078,0,3.994,5.203,6.35,268.017455158462,-382.680828764149
ctlM1,Ind6,4.018,356.549308016245,0,2.831,4.019,5.303,136.041673809295,-424.589381177328
ctlM1,Ind9,2.977,293.190249999034,0,2.978,4.255,5.451,272.493973004146,-196.80383144791
ctlM2,Ind16,4.528,94.5669952375412,0.183,2.98,4.567,5.865,416.982587120675,-54.0558301197506
ctlM2,Ind18,3.676,292.764017759866,0,3.667,4.908,6.254,286.438375176116,-267.050353045575
ctlM2,Ind23,3.478,339.576763491083,0,3.4,5.1,8.3,394.752943432377,-274.703516665025
ctlM2,Ind25,3.966,362.932512299547,0,2.8,3.95,5.768,379.275376565984,-298.677071914524
ctlM2,Ind28,4.294,435.17489725581,0,2.942,4.253,6.3,291.778334592923,-336.640402339976
ctlM2,Ind29,3.869,418.313211331166,0,3.8,5.1,6.3,371.951170648765,-354.369477333732
ctlM2,Ind30,5.977,361.585538711385,0,4.65,5.95,8.4,468.784622608019,-342.719609090757
ctlM2,Ind32,5.388,396.652702658215,0,3.9,5.392,7.8,452.513400745316,-296.78611494042
ctlM2,Ind33,2.819,442.031100589864,0,2.8,4.3,6.9,571.888964225262,-333.254575567497
ctlM2,Ind4,5.965,461.071199320233,0,4.67,5.9,7.5,268.017455158462,-382.680828764149
ctlM2,Ind6,3.801,422.371210296859,0,3.75,5.03,6.5,136.041673809295,-424.589381177328
ctlM2,Ind9,5.164,271.699686727984,0,3.7,4.7,5.9,272.493973004146,-196.80383144791
itvM1,Ind1,5.877,72.7724449550908,1.49,4.301,5.878,7.55,484.209887122627,-62.5064619711631
itvM1,Ind12,6.357,259.742642435895,1.143,3.368,5.182,8.9,535.91921104825,-257.184960601624
itvM1,Ind13,4.702,450.881165681595,0,3.24,4.703,8.5,452.460541534419,-248.747315984834
itvM1,Ind14,5.879,374.55508924668,0,5.88,7.4,8.9,70.2223835018916,-290.336293475902
itvM1,Ind17,5.472,249.214905865538,1.088,3.92,5.473,7.4,613.105467164709,-204.575055762117
itvM1,Ind21,3.411,472.937545913509,0,3.412,4.972,7.1,403.980453745318,-359.470780946922
itvM1,Ind24,6.303,421.216780311336,0,3.353,4.9,7,167.122837331489,-399.695500498795
itvM1,Ind27,3.306,378.965572551145,0,3.307,4.832,7.8,466.302478042183,-187.976580049783
itvM1,Ind3,2.911,369.107380130778,1.078,2.912,4.39,5.853,249.597787337368,-367.263358183942
itvM1,Ind31,3.551,290.738801951203,0.9,3.552,5.131,7.1,400.337603016643,-319.762968093099
itvM1,Ind5,4.587,368.878146088016,1.303,4.588,6.197,8.2,371.728161245764,-240.432424816519
itvM1,Ind7,0,359.390411353561,1.4,5.242,7.5,11,293.357007683942,-290.585682321508
itvM1,Ind8,5.336,349.994663663721,1.2,3.767,5.337,7.1,517.669011756891,-195.699527949049
itvM2,Ind1,5.412,49.0902595906421,1.79,3.7,5.1,7.1,484.209887122627,-62.5064619711631
itvM2,Ind12,6.065,265.887708032797,1.3,6.066,7.4,9.6,535.91921104825,-257.184960601624
itvM2,Ind13,4.411,342.073848673961,0,4.412,5.754,8.5,452.460541534419,-248.747315984834
itvM2,Ind14,2.743,354.5083487859,0,2.744,4.083,5.35,70.2223835018916,-290.336293475902
itvM2,Ind17,5.614,244.364079552886,1.088,4.172,5.615,6.9,613.105467164709,-204.575055762117
itvM2,Ind21,4.662,384.45097050619,1.3,3.157,4.663,5.957,403.980453745318,-359.470780946922
itvM2,Ind24,3.737,388.012246836446,1.2,3.738,5.069,7.8,167.122837331489,-399.695500498795
itvM2,Ind27,3.694,280.826461802836,0.987,3.695,4.964,6.6,466.302478042183,-187.976580049783
itvM2,Ind3,3.868,386.305089697393,1.17,3.869,5.15,6.6,249.597787337368,-367.263358183942
itvM2,Ind31,4.591,318.150204041547,1.2,3.274,4.592,5.829,400.337603016643,-319.762968093099
itvM2,Ind5,6.357,296.120408414838,1.446,3.758,5.341,6.9,371.728161245764,-240.432424816519
itvM2,Ind7,5.238,316.096308194956,0,3.719,5.239,7.6,293.357007683942,-290.585682321508
itvM2,Ind8,2.803,296.813202375698,1.3,2.804,4.102,5.381,517.669011756891,-195.699527949049
itvM1,Ind15,4.036,244.62292,1.207,4.037,5.563,6.9,429.0983,-169.0202
itvM2,Ind15,6.004,222.74457,1.104,4.533,6.005,7.4,524.8751,-169.5419
