df,id,tempo,corrY,T1,T2,T3,T4,max,min
ctlM1,Ind16,4.223,79.1622403877883,1.2,3.144,4.224,7.6,0,0
ctlM1,Ind18,4.991,243.3356806044,1.013,2.695,4.992,7.6,0,0
ctlM1,Ind23,4.944,340.121923995062,1.048,6.5,8.2,11,0,0
ctlM1,Ind25,4.507,342.382076880045,0.934,4.508,5.669,7.2,0,0
ctlM1,Ind28,4.012,400.458901234417,1.15,2.761,4.013,5.178,0,0
ctlM1,Ind29,4.802,397.136711585233,1.3,3.64,4.803,6.7,0,0
ctlM1,Ind32,3.293,403.236771733663,0.997,3.294,4.482,5.637,0,0
ctlM1,Ind33,5.776,431.374174422527,1.8,4.9,6.1,7.2,0,0
ctlM1,Ind4,4.079,552.552177016374,1.15,4.08,5.29,6.8,0,0
ctlM1,Ind6,2.51,357.666965124782,1.235,2.511,3.669,4.837,0,0
ctlM1,Ind9,3.15,302.823302018228,1.35,3.151,4.47,6.643,0,0
ctlM2,Ind16,2.996,86.4473396442804,1.44,2.997,4.14,7.2,0,0
ctlM2,Ind18,4.73,266.127797468121,1.352,3.629,4.731,7.9,0,0
ctlM2,Ind23,3.719,310.029278747943,1.212,3.72,5.038,7.6,0,0
ctlM2,Ind25,3.787,340.596259487382,0.76,2.815,3.788,4.915,0,0
ctlM2,Ind28,4.666,428.282229172663,1.2,3.548,4.667,6.5,0,0
ctlM2,Ind29,5.316,379.318987607735,1.25,4.051,5.317,6.9,0,0
ctlM2,Ind32,5.759,445.944186119667,1.15,4.482,5.76,7.2,0,0
ctlM2,Ind33,3.841,417.750920427915,2.318,3.842,5.415,7.6,0,0
ctlM2,Ind4,4.571,555.578681827549,1.14,2.159,4.572,7.2,0,0
ctlM2,Ind6,4.452,402.277121169121,0.98,3.454,4.453,5.571,0,0
ctlM2,Ind9,3.44,311.874662602461,1.25,3.441,4.61,6.758,0,0
itvM1,Ind1,5.106,69.7772469367884,1.3,4.037,5.107,6.5,0,0
itvM1,Ind12,5.776,268.090043224641,1.8,6.78,8.25,9.3,0,0
itvM1,Ind13,4.858,414.900543270656,1.227,3.328,4.859,7.75,0,0
itvM1,Ind14,0,437.675977282813,0,5.229,6.6,7.3,0,0
itvM1,Ind15,5.672,279.918092945385,1.4,5.673,7.2,8.1,0,0
itvM1,Ind17,4.938,397.100344625071,1.2,3.513,4.939,6.8,0,0
itvM1,Ind21,5.458,432.796536131034,1.477,4.09,5.459,6.8,0,0
itvM1,Ind24,4.217,458.267111927717,1.25,4.218,5.68,7.2,0,0
itvM1,Ind27,2.701,363.629632375217,0,2.702,4.165,5.675,0,0
itvM1,Ind3,5.776,373.24493240137,1.6,4.286,5.6,7.3,0,0
itvM1,Ind31,4.767,297.889580757284,0.9,3.416,4.768,6.1,0,0
itvM1,Ind5,5.776,394.592736822399,1.35,4.59,6.1,7.65,0,0
itvM1,Ind7,5.776,379.63265740334,1.55,7.3,8.8,9.6,0,0
itvM2,Ind1,4.839,53.9594713428483,1.2,3.6,4.84,6.5,0,0
itvM2,Ind12,5.302,229.420416079958,1.4,6.7,8.1,9.8,0,0
itvM2,Ind13,5.039,375.248449923135,1.365,3.298,5.04,7.1,0,0
itvM2,Ind14,4.901,350.685430939667,0,3.578,4.902,6.6,0,0
itvM2,Ind15,2.897,200.551850777929,0,2.898,4.239,5.54,0,0
itvM2,Ind17,3.657,320.25959754928,0,3.658,4.994,6.4,0,0
itvM2,Ind21,4.37,358.959170735821,0.993,3.113,4.371,6.9,0,0
itvM2,Ind24,3.766,354.682959202671,1.159,3.767,5.075,7.5,0,0
itvM2,Ind27,4.475,254.876908460547,1.36,3.304,4.476,6.1,0,0
itvM2,Ind3,5.666,359.663978311916,1.4,4.1,5.667,7.1,0,0
itvM2,Ind31,3.971,312.078187271423,1.15,2.775,3.972,6.313,0,0
itvM2,Ind5,3.414,340.198468637169,1.3,3.415,4.752,7.2,0,0
itvM2,Ind7,4.356,283.4057658163,0.997,3.101,4.357,6.678,0,0
