df,id,tempo,corrY,T1,T2,T3,T4,max,min
ctlM1,Ind16,4.58,90.1500858293959,1.55,3.516,4.581,6.186,0,0
ctlM1,Ind18,5.516,278.907218354937,0.97,4.617,5.517,6.4,0,0
ctlM1,Ind23,3.943,352.944280739324,1.091,3.944,5.201,6.6,0,0
ctlM1,Ind25,3.459,371.503562687171,1.35,3.46,4.582,6.708,0,0
ctlM1,Ind28,2.665,405.548145874198,1.05,2.666,3.82,5.905,0,0
ctlM1,Ind29,4.674,369.429926562981,1.27,4.675,6.3,7.4,0,0
ctlM1,Ind32,4.94,388.931690001062,0.851,3.764,4.941,6.1,0,0
ctlM1,Ind33,3.919,476.756074285365,1.136,3.92,5.125,7,0,0
ctlM1,Ind4,3.38,546.915251115177,1.04,3.381,4.53,5.631,0,0
ctlM1,Ind6,3.803,373.887508250297,0.95,2.799,3.804,4.848,0,0
ctlM1,Ind9,3.897,321.466327991741,0,3.898,5.077,6.2,0,0
ctlM2,Ind16,4.675,101.307047710638,1.1,3.552,4.676,5.9,0,0
ctlM2,Ind18,4.886,267.743657458324,1.18,4.1,4.887,6.6,0,0
ctlM2,Ind23,3.862,352.479327062716,1.022,3.863,5.165,7.4,0,0
ctlM2,Ind25,4.65,378.54127314747,1.15,3.55,4.651,5.6,0,0
ctlM2,Ind28,4.139,441.017543949513,1.182,3.009,4.14,5.204,0,0
ctlM2,Ind29,4.959,401.38565763298,0.985,3.8,4.96,6.6,0,0
ctlM2,Ind32,4.683,402.800148383217,1.292,4.684,5.8,7.1,0,0
ctlM2,Ind33,2.946,463.824527598998,1.146,2.947,4.256,5.261,0,0
ctlM2,Ind4,4.62,547.969603309458,1.08,3.459,4.621,6.3,0,0
ctlM2,Ind6,4.017,420.655446778469,1.05,2.882,4.018,5.162,0,0
ctlM2,Ind9,3.273,291.757837402595,0.946,3.274,4.418,6.154,0,0
itvM1,Ind1,3.647,37.43923847949,1.55,3.648,5.245,10.5,0,0
itvM1,Ind12,5.732,247.56590707136,1.6,6.85,8.23,10.4,0,0
itvM1,Ind13,4.544,389.806455391884,0,4.545,6.1,8.2,0,0
itvM1,Ind14,0,454.076229974559,0,5.137,6.65,7.6,0,0
itvM1,Ind15,4.824,282.068624114023,0,4.825,6.35,7.9,0,0
itvM1,Ind17,3.635,374.624428584942,0,3.636,5.251,7.2,0,0
itvM1,Ind21,2.697,463.734919478576,0,2.698,4.296,6.3,0,0
itvM1,Ind24,5.225,438.190181939909,0,3.72,5.226,6.9,0,0
itvM1,Ind27,4.624,309.252854055542,0,2.828,4.625,6.7,0,0
itvM1,Ind3,4.061,435.091577874713,1.45,4.062,5.729,7.8,0,0
itvM1,Ind31,4.452,294.661051921417,0.99,3.206,4.453,6.4,0,0
itvM1,Ind5,5.024,369.234411115962,0,5.025,6.55,8.1,0,0
itvM1,Ind7,5.732,324.194462226034,0,6.15,7.65,9.6,0,0
itvM1,Ind8,3.211,332.703438379636,1.3,3.212,4.748,7.1,0,0
itvM2,Ind1,4.416,30.2112787018955,1.2,3.297,4.417,6.2,0,0
itvM2,Ind12,5.153,270.466253561323,0,2.905,5.154,7.9,0,0
itvM2,Ind13,3.891,351.14846416222,1.53,3.892,5.312,7.68,0,0
itvM2,Ind14,2.559,355.608942555761,0,2.56,3.98,5.9,0,0
itvM2,Ind15,3.587,244.323036629627,0,3.588,4.96,7.5,0,0
itvM2,Ind17,3.316,348.538411193627,1.174,3.317,4.728,7.3,0,0
itvM2,Ind21,4.783,401.138555874074,1.15,3.367,4.784,6.6,0,0
itvM2,Ind24,4.691,350.048834347913,1.08,2.985,4.692,7.9,0,0
itvM2,Ind27,4.756,279.945911273763,1.15,3.522,4.757,6.3,0,0
itvM2,Ind3,5.657,379.022668673735,1.6,4.127,5.658,6.95,0,0
itvM2,Ind31,3.073,256.239656381416,0,3.074,4.467,5.9,0,0
itvM2,Ind5,4.35,323.214659616711,2.1,4.351,5.85,7.6,0,0
itvM2,Ind7,5.096,334.083190687613,1.458,3.774,5.097,6.8,0,0
itvM2,Ind8,2.984,289.662353723729,0,2.985,4.405,7.2,0,0
